ligand	receptor	sources	references	database	evidence
WNT9B	FZD2	PMID:24532711	PMID:24532711	CellPhoneDB	curated
WNT9B	FZD3	PMID:24532711	PMID:24532711	CellPhoneDB	curated
WNT9B	FZD4	PMID:24532711	PMID:24532711	CellPhoneDB	curated
WNT9B	FZD5	PMID:24532711	PMID:24532711	CellPhoneDB	curated
WNT9B	FZD6	PMID:24532711	PMID:24532711	CellPhoneDB	curated
WNT9B	FZD7	PMID:24532711	PMID:24532711	CellPhoneDB	curated
WNT9B	FZD8	PMID:24532711	PMID:24532711	CellPhoneDB	curated
WNT9B	FZD9	PMID:24532711	PMID:24532711	CellPhoneDB	curated
WNT9B	SFRP1	PMID:12775774	PMID:12775774	CellPhoneDB	curated
WNT9B	SFRP2	PMID:12775774	PMID:12775774	CellPhoneDB	curated
WNT9B	SFRP4	PMID:12775774	PMID:12775774	CellPhoneDB	curated
WNT9B	SFRP5	PMID:12775774	PMID:12775774	CellPhoneDB	curated
WNT9B	WIF1	PMID:12775774	PMID:12775774	CellPhoneDB	curated
DKK1	KREMEN1	reactome;PMID:27524201;PDB:5FWW		CellPhoneDB	curated
DKK1	LRP6	reactome;PMID:27524201;PDB:5FWW		CellPhoneDB	curated
DKK1	KREMEN2	reactome		CellPhoneDB	curated
DKK1	LRP6	reactome		CellPhoneDB	curated
DKK2	KREMEN2	reactome;PMID:12527209		CellPhoneDB	curated
DKK2	LRP6	reactome;PMID:12527209		CellPhoneDB	curated
INHA	ACVR1	PMID:22710174;PMID:22991378	PMID:22710174;PMID:22991378	CellPhoneDB	curated
INHA	ACVR2A	PMID:22710174;PMID:22991378	PMID:22710174;PMID:22991378	CellPhoneDB	curated
INHA	ACVR2B	PMID:22710174;PMID:22991378	PMID:22710174;PMID:22991378	CellPhoneDB	curated
INHA	ACVR1B	PMID:22710174;PMID:22991378	PMID:22710174;PMID:22991378	CellPhoneDB	curated
INHA	ACVR1C	PMID:22710174;PMID:22991378	PMID:22710174;PMID:22991378	CellPhoneDB	curated
INHBA	ACVR1	PMID:22710174;PMID:22991378	PMID:22710174;PMID:22991378	CellPhoneDB	curated
INHBB	ACVR1	PMID:22710174;PMID:22991378	PMID:22710174;PMID:22991378	CellPhoneDB	curated
INHBC	ACVR2A	PMID:22710174	PMID:22710174	CellPhoneDB	curated
INHBC	ACVR2B	PMID:22710174	PMID:22710174	CellPhoneDB	curated
INHBE	ACVR2A	PMID:22710174	PMID:22710174	CellPhoneDB	curated
INHBE	ACVR2B	PMID:22710174	PMID:22710174	CellPhoneDB	curated
ARTN	GFRA1	uniprot		CellPhoneDB	curated
ARTN	RET	uniprot		CellPhoneDB	curated
ARTN	GFRA3	uniprot		CellPhoneDB	curated
PSPN	GFRA4	uniprot		CellPhoneDB	curated
PSPN	RET	uniprot		CellPhoneDB	curated
ITGAV	ADGRE2	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ITGB1	ADGRE2	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ITGAV	ADGRE5	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ITGB1	ADGRE5	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ITGAV	ADGRA2	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ITGB3	ADGRA2	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ITGB3	ADGRE2	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ITGB3	ADGRE5	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ITGAV	ADGRB1	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ITGB5	ADGRB1	uniprot;reactome;IUPHAR		CellPhoneDB	curated
ADIPOQ	ADIPOR1	reactome		CellPhoneDB	curated
ADIPOQ	ADIPOR2	reactome		CellPhoneDB	curated
ALB	B2M	PDB:4n0;PDB:4k7		CellPhoneDB	curated
ALB	FCGRT	PDB:4n0;PDB:4k7		CellPhoneDB	curated
ALCAM	CD6	Reviewed_in_PMID:23602662		CellPhoneDB	curated
B2M	IL6ST	Shilts screen - VALIDATED		CellPhoneDB	curated
CD1B	IL6ST	Shilts screen - VALIDATED		CellPhoneDB	curated
BAG6	NCR3	activating_interaction_from_uniprot		CellPhoneDB	curated
BST2	LILRA4	PMID:19564354	PMID:19564354	CellPhoneDB	curated
CBLN1	GRID2	uniprot;reactome;IUPHAR		CellPhoneDB	curated
NRXN1	GRID2	uniprot;reactome;IUPHAR		CellPhoneDB	curated
CD1D	LILRB2	PMID:19124746	PMID:19124746	CellPhoneDB	curated
CD200	CD200R1	PMID:22020332;also_called_CD200_CD200R	PMID:22020332;also_called_CD200_CD200R	CellPhoneDB	curated
CD226	NECTIN2	integrin_activating_interaction_PMID:15607800;NK_cell_cytotoxicity._PMID:24440149		CellPhoneDB	curated
CD24	SELP	PMID:9129046	PMID:9129046	CellPhoneDB	curated
CD248	IL6R	Shilts screen - VALIDATED		CellPhoneDB	curated
CD274	CD80	PMID:17629517;PMID:18585785;PMC3168865	PMID:17629517;PMID:18585785;PMC3168865	CellPhoneDB	curated
CD274	PDCD1	integrin_antigen_stimulated_T_cells_become_anergic._PMID:23954143		CellPhoneDB	curated
CD276	TREML2	uniprot		CellPhoneDB	curated
CD320	JAML	Shilts screen - VALIDATED		CellPhoneDB	curated
CD34	SELL	PMID:7692600;PMID:8977216	PMID:7692600;PMID:8977216	CellPhoneDB	curated
CD34	SELP	PMID:18606703	PMID:18606703	CellPhoneDB	curated
CD40LG	CD40	Reviewed_in_PMID:23602662		CellPhoneDB	curated
CD40LG	ITGA2B	PMID:11875495	PMID:11875495	CellPhoneDB	curated
CD40LG	ITGB3	PMID:11875495	PMID:11875495	CellPhoneDB	curated
CD40LG	ITGA5	PMC3365732		CellPhoneDB	curated
CD40LG	ITGB1	PMC3365732		CellPhoneDB	curated
CD44	SELE	PMC4571854		CellPhoneDB	curated
CD47	SIRPB1	2jjs;PDB_partially		CellPhoneDB	curated
CD47	TYROBP	2jjs;PDB_partially		CellPhoneDB	curated
CD48	CD244	activating_interaction._uniprot_&_PMID:26697006		CellPhoneDB	curated
CD52	SIGLEC10	PMID:23685786	PMID:23685786	CellPhoneDB	curated
CD55	ADGRE5	PMID:11297558	PMID:11297558	CellPhoneDB	curated
CD58	CD2	Reviewed_in_PMID:23602662		CellPhoneDB	curated
CD70	CD27	activating_interaction_for_NK_and_T_cells._uniprot_&_PMID:26697006		CellPhoneDB	curated
CD80	CD28	antigen_stimulated_T_cells_become_activated._Reviewed_in_PMID:23954143		CellPhoneDB	curated
CD80	CTLA4	integrin_antigen_stimulated_T_cells_become_anergic._Reviewed_in_PMID:23954143		CellPhoneDB	curated
CD80	NGFR	Shilts screen - VALIDATED		CellPhoneDB	curated
CD86	CD28	integrin_antigen_stimulated_T_cells_become_activated._Reviewed_in_PMID:23954143		CellPhoneDB	curated
CD86	CTLA4	antigen_stimulated_T_cells_become_anergic._Reviewed_in_PMID:23954143		CellPhoneDB	curated
CD93	IFNGR1	Shilts screen - VALIDATED		CellPhoneDB	curated
CD96	NECTIN1	PMID:17971293	PMID:17971293	CellPhoneDB	curated
CD99	PILRA	PMID:18234675	PMID:18234675	CellPhoneDB	curated
CHL1	L1CAM	Shilts screen - VALIDATED		CellPhoneDB	curated
CLCF1	CNTFR	uniprot		CellPhoneDB	curated
CLCF1	IL6ST	uniprot		CellPhoneDB	curated
CLCF1	LIFR	uniprot		CellPhoneDB	curated
CLU	TREM2	uniprot;PMID:27477014		CellPhoneDB	curated
CLU	TYROBP	uniprot;PMID:27477014		CellPhoneDB	curated
CNTF	CNTFR	uniprot		CellPhoneDB	curated
CNTF	IL6ST	uniprot		CellPhoneDB	curated
CNTF	LIFR	uniprot		CellPhoneDB	curated
CNTN1	MCAM	Shilts screen - VALIDATED		CellPhoneDB	curated
CNTN1	NRCAM	Shilts screen - VALIDATED		CellPhoneDB	curated
CRLF2	IL7R	DOI_10.1038ncomms14937		CellPhoneDB	curated
CRTAM	CADM1	uniprot		CellPhoneDB	curated
CSPG4	ITGA3	uniprot		CellPhoneDB	curated
CSPG4	ITGB1	uniprot		CellPhoneDB	curated
EPO	EPOR	uniprot		CellPhoneDB	curated
ERVH48-1	SLC1A5	uniprot		CellPhoneDB	curated
FBN1	ITGA5	uniprot		CellPhoneDB	curated
FBN1	ITGB1	uniprot		CellPhoneDB	curated
FGFR4	TGFBR3	Shilts screen - VALIDATED		CellPhoneDB	curated
FLT3LG	FLT3	uniprot		CellPhoneDB	curated
FSHB	FSHR	uniprot;reactome;IUPHAR		CellPhoneDB	curated
FTH1	SCARA5	uniprot		CellPhoneDB	curated
FTL	SCARA5	uniprot		CellPhoneDB	curated
GDNF	GFRA1	uniprot		CellPhoneDB	curated
GDNF	RET	uniprot		CellPhoneDB	curated
GP1BA	ITGAM	PMC2194217		CellPhoneDB	curated
GP1BA	ITGB2	PMC2194217		CellPhoneDB	curated
GPHA2	TSHR	uniprot;HMRbase;reactome		CellPhoneDB	curated
GPHB5	TSHR	uniprot;HMRbase;reactome		CellPhoneDB	curated
HEBP1	FPR3	reactome		CellPhoneDB	curated
HFE	TFRC	uniprot		CellPhoneDB	curated
HGF	MET	uniprot		CellPhoneDB	curated
ICOSLG	ICOS	important_for_T_follicular_helper_cells_(Tfh)_and_type_2_T_helper_cell_(Th2)_responses._Reviewed_in_PMID:23954143		CellPhoneDB	curated
JAG1	CD46	PMID:23086448	PMID:23086448	CellPhoneDB	curated
JAG1	VASN	Shilts screen - VALIDATED		CellPhoneDB	curated
JAG2	VASN	Shilts screen - VALIDATED		CellPhoneDB	curated
KISS1	KISS1R	uniprot;reactome;IUPHAR		CellPhoneDB	curated
KITLG	KIT	uniprot		CellPhoneDB	curated
KLRB1	CLEC2D	Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24223577		CellPhoneDB	curated
LAIR1	LILRB4	PMID:19283782	PMID:19283782	CellPhoneDB	curated
LAMA2	ADGRG6	uniprot;reactome;IUPHAR		CellPhoneDB	curated
LCK	CD8A	1q69;PDB_partially		CellPhoneDB	curated
LCK	CD8B	1q69;PDB_partially		CellPhoneDB	curated
LCN2	SLC22A17	uniprot;reactome		CellPhoneDB	curated
LEP	LEPR	uniprot		CellPhoneDB	curated
LHB	LHCGR	uniprot;reactome;IUPHAR		CellPhoneDB	curated
LIF	IL6ST	1pvh;PDB_partially		CellPhoneDB	curated
LIF	LIFR	1pvh;PDB_partially		CellPhoneDB	curated
LRPAP1	SORT1	uniprot		CellPhoneDB	curated
MADCAM1	ITGA4	uniprot		CellPhoneDB	curated
MADCAM1	ITGB7	uniprot		CellPhoneDB	curated
MICA	HCST	1hyr;PDB_partially;Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577		CellPhoneDB	curated
MICA	KLRK1	1hyr;PDB_partially;Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577		CellPhoneDB	curated
MICB	HCST	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577		CellPhoneDB	curated
MICB	KLRK1	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577		CellPhoneDB	curated
MLN	MLNR	reactome;uniprot		CellPhoneDB	curated
MMP2	ITGAV	uniprot		CellPhoneDB	curated
MMP2	ITGB3	uniprot		CellPhoneDB	curated
MST1	MST1R	PMID:23792360	PMID:23792360	CellPhoneDB	curated
NCR3LG1	NCR3	activating_interaction_from_uniprot		CellPhoneDB	curated
NDP	FZD4	https:ghr.nlm.nih.govgeneNDP		CellPhoneDB	curated
NDP	LRP5	https:ghr.nlm.nih.govgeneNDP		CellPhoneDB	curated
NELL2	ROBO3	reactome		CellPhoneDB	curated
NSMF	GNRHR	uniprot;HMRbase		CellPhoneDB	curated
NXNL1	BSG	uniprot;PMID:25957687		CellPhoneDB	curated
NXNL1	SLC16A1	uniprot;PMID:25957687		CellPhoneDB	curated
OMD	ITGAV	uniprot		CellPhoneDB	curated
OMD	ITGB3	uniprot		CellPhoneDB	curated
PDCD1LG2	PDCD1	antigen_stimulated_T_cells_become_anergic._PMID:23954143		CellPhoneDB	curated
PECAM1	CD38	PMID:9551996;PMID:26407101	PMID:9551996;PMID:26407101	CellPhoneDB	curated
PENK	GHSR	uniprot;reactome;IUPHAR		CellPhoneDB	curated
PF4	CXCR3	PMID:24218476	PMID:24218476	CellPhoneDB	curated
PI16	TNFRSF21	Shilts screen - VALIDATED		CellPhoneDB	curated
PLG	ITGA2B	uniprot		CellPhoneDB	curated
PLG	ITGB3	uniprot		CellPhoneDB	curated
PPIA	BSG	reactome		CellPhoneDB	curated
PRNP	ADGRG6	uniprot;reactome;IUPHAR		CellPhoneDB	curated
PROC	PROCR	reactome		CellPhoneDB	curated
PRXL2B	PTGFR	HMRbase;uniprot;reactome		CellPhoneDB	curated
PTGIS	PTGIR	HMRbase;uniprot;reactome		CellPhoneDB	curated
PTPRC	CD22	PMID:12115612	PMID:12115612	CellPhoneDB	curated
PTPRC	MRC1	PMID:27601670;PMID:10575006	PMID:27601670;PMID:10575006	CellPhoneDB	curated
PTPRD	IL1RAP	PMID:29100073;PMID:34966732	PMID:29100073;PMID:34966732	CellPhoneDB	curated
PTPRD	IL1RAPL1	PMID:29100073;PMID:34966732	PMID:29100073;PMID:34966732	CellPhoneDB	curated
PTPRS	NTRK3	reactome		CellPhoneDB	curated
QRFP	QRFPR	GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		CellPhoneDB	curated
RBP4	STRA6	uniprot		CellPhoneDB	curated
REN	ATP6AP2	uniprot;HMRbase;_PMID:12045255		CellPhoneDB	curated
RNASET2	TLR8	uniprot		CellPhoneDB	curated
RTN4R	ADGRB1	uniprot;reactome;IUPHAR		CellPhoneDB	curated
SAA1	FPR2	reactome		CellPhoneDB	curated
SFTPD	ADGRE5	uniprot;reactome;IUPHAR		CellPhoneDB	curated
SIGLEC15	CD44	PMID:31900164	PMID:31900164	CellPhoneDB	curated
SPN	SIGLEC1	PMID:11238599	PMID:11238599	CellPhoneDB	curated
TGM2	ADGRG1	uniprot;reactome;IUPHAR		CellPhoneDB	curated
THPO	MPL	uniprot		CellPhoneDB	curated
TPO	THRB	HMRbase;uniprot		CellPhoneDB	curated
TRH	TRHR	uniprot;HMRbase;reactome		CellPhoneDB	curated
TSHB	TSHR	uniprot;reactome;IUPHAR		CellPhoneDB	curated
TSLP	CRLF2	PDB:5j11		CellPhoneDB	curated
TSLP	IL7R	PDB:5j11		CellPhoneDB	curated
TULP1	TYRO3	uniprot		CellPhoneDB	curated
UNC5A	ADGRL3	uniprot;reactome;IUPHAR		CellPhoneDB	curated
CD177	PECAM1	PMID:17580308	PMID:17580308	CellPhoneDB	curated
CD47	SIRPA	Reviewed_in_PMID:23602662		CellPhoneDB	curated
CD47	SIRPG	PMID:15294972	PMID:15294972	CellPhoneDB	curated
DAG1	NRXN3	PMID:29100073	PMID:29100073	CellPhoneDB	curated
HLA-E	VSIR	Shilts screen - VALIDATED		CellPhoneDB	curated
HLA-F	VSIR	Shilts screen - VALIDATED		CellPhoneDB	curated
NLGN4Y	NRXN3	PMID:29100073	PMID:29100073	CellPhoneDB	curated
PVR	KIR2DL5A	Shilts screen - VALIDATED		CellPhoneDB	curated
SDC2	FGFR4	Shilts screen - VALIDATED		CellPhoneDB	curated
SEMA4D	PLXNB3	Shilts screen - VALIDATED		CellPhoneDB	curated
CD44	TYROBP	PMID:31900164	PMID:31900164	CellPhoneDB	curated
