ligand	receptor	sources	references	databases	n_databases
CBR1	PTGFR	HMRbase;uniprot;reactome		CellPhoneDB	1
CCK	CCKAR	uniprot;HMRbase;reactome		CellPhoneDB	1
CCK	CCKBR	uniprot;HMRbase;reactome		CellPhoneDB	1
CCL1	CCR8	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL11	ACKR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL11	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL11	DPP4	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL13	ACKR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL13	CCR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL13	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL14	ACKR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL14	CCR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL14	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL15	CCR1	uniprot		CellPhoneDB	1
CCL15	CCR3	uniprot		CellPhoneDB	1
CCL16	CCR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL16	CCR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL16	CCR8	uniprot;reactome		CellPhoneDB	1
CCL16	HRH4	PMID:15265943	PMID:15265943	CellPhoneDB	1
CCL17	CCR4	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL18	CCR8	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL19	ACKR4	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL19	CCR7	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL19	CCRL2	uniprot		CellPhoneDB	1
CCL2	ACKR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL2	ACKR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL2	CCR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL20	CCR6	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL21	ACKR4	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL21	CCR7	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL22	CCR4	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL22	DPP4	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL23	CCR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL23	FPR2	reactome		CellPhoneDB	1
CCL24	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL25	ACKR4	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL25	CCR9	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL26	CCR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL26	CCR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL26	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL27	CCR10	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL28	CCR10	uniprot		CellPhoneDB	1
CCL3	ACKR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL3	CCR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL3	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL3	CCR5	PMID:15251452	PMID:15251452	CellPhoneDB	1
CCL3L1	CCR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL3L1	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL4	ACKR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL4	CCR5	uniprot		CellPhoneDB	1
CCL5	ACKR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL5	ACKR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL5	CCR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL5	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL5	CCR4	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL5	CCR5	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL5	GPR75	uniprot		CellPhoneDB	1
CCL7	ACKR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL7	CCR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL7	CCR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL7	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL7	CCR5	PMID:24218476	PMID:24218476	CellPhoneDB	1
