source_genesymbol	target_genesymbol	references	sources
FOS	FOS	10050039;10082538;10319324;10381381;10891373;11145955;11389180;11557580;11701448;11850800;11950097;12137955;12506135;12510024;12658630;1431315;15123357;16242410;1668889;16785536;17182846;1722028;1822246;18502516;18557893;18725523;18757399;1900040;1903195;1915270;19196971;1922053;1944274;19581295;20682780;2104799;2110922;2119495;21655091;21692876;21914770;21920361;23562910;24220339;2498646;2498806;2511006;2513130;2850250;3355549;7857636;7935406;7942278;8031467;8114761;8230424;8348687;8468462;8589450;8593588;8681975;8793851;8810350;8816505;8846788;8874187;8890955;8939609;8970980;9000503;9019156;9159206;9368758;9413158;9452499;9515031;9813041;9822695;9858538	TRRUST_from_CollecTRI
ARNT	CYP1B1	10051545;12376470;12801909;16115918;19255421;19287966;19376845;21742528;24299737	TRRUST_from_CollecTRI
AHR	CYP1B1	10051545;12213569;12376470;12801909;12859982;14728982;16115918;17012224;17511620;17709388;17785579;18059014;19126602;19287966;19376845;19789301;19805408;21703235;21742528;22138065;22187486;23275542;24299737;9478971	TRRUST_from_CollecTRI
TP53	CCNB1	10051609;11071927;11162602;11313928;11522645;11892838;12379461;12874009;14627709;15710382;15737644;17942917;19470724;20395210	TRRUST_from_CollecTRI
STAT5A	CCND1	10064602;14645506;15885880;16155412;18024957;18927468;19426693;20372799;21719533;23223023;23504816	TRRUST_from_CollecTRI
TP53	MDM2	10065155;10072445;10208414;10321740;10348346;10469568;10562557;10566557;10688649;10718212;10777217;10788589;10856296;10871862;10891494;10914734;10949923;11046142;11085543;11127813;11179471;11245471;11313463;11328884;11591713;11593391;11714701;11748232;11756653;11840331;11956627;11964305;12080472;12138177;12173040;12208736;12235242;12374749;12606552;12750288;12755686;12851404;12887889;12902982;14514686;14532965;14570892;14602726;14610316;14704432;14743206;14990790;15007388;15024021;15090541;15192123;15361831;15550242;15580300;15592502;15684615;15734740;15735665;15831521;15843377;15851483;15856024;15908423;15917661;1614537;16202543;16337599;16479015;16492744;16501602;16510138;16571800;16585169;16624812;17043642;17139261;17237821;17310983;17318220;17329361;17390010;17690113;17848574;17907153;17936559;18025460;18333294;18336191;18359851;18397889;18566224;18583933;18585004;18632610;18781178;18783169;18814047;18852133;19085961;19428175;19505873;19541936;19590512;19638633;19648117;19649205;19663772;19671680;19837670;19941079;19955655;20036872;20080970;20124454;20156675;20331637;20547751;20588255;20659896;20663877;20703075;20837136;20858413;20948295;21097889;21211512;21217645;21295542;21422812;21451571;21478269;21637567;21750655;21957016;22081073;22085928;22180176;22197810;22223137;22245141;22290440;22301280;22383580;22532570;22787160;22948151;23149414;23150757;23150759;23365201;23483203;23581014;23612020;23874713;23982177;24339722;24389645;25016801;7587074;7624148;7651818;7888679;7936649;7958853;8187772;8247544;8313378;8319905;8413278;8440237;8910340;8957072;9070662;9071998;9135153;9194564;9207798;9267820;9270029;9271120;9294611;9371494;9400998;9405685;9430645;9472631;9486848;9525742;9535786;9645455;9649502;9681831;9707425;9815889;9858609	TRRUST_from_CollecTRI
ATF2	CCND1	10066798;10464245;10500157;10915780;11410592;11739785;11850817;15314161;15691880;16405968;9990041	TRRUST_from_CollecTRI
JUN	CCND1	10066798;10500157;10567390;10790372;11402335;11410592;11432833;11745411;12794082;14672732;15282324;15467760;15574422;15574764;15994313;16393119;16860316;17166846;17278098;17477349;17496887;17501623;17637753;17670745;18084253;19435822;19499154;19622016;20037604;20220142;20482821;21135252;21474819;22550166;22853846;24190040;8917510;9878062	TRRUST_from_CollecTRI
RARA	SFTPB	10070102;10617585;11274148;15044588	TRRUST_from_CollecTRI
JUN	CDKN1A	10072388;10506225;10733944;11136975;12054510;12717415;18094076;18210215;19628677;21278055	TRRUST_from_CollecTRI
JUN	TP53	10072388;10348347;12963547;17321721;18604200;20697347;22353755;22859294	TRRUST_from_CollecTRI
TP53	TP53	10072388;10082513;10082525;10097112;10101797;10206959;10207030;10207051;10208414;10213232;10233872;10340750;10400708;10505791;10516715;10557083;10559267;10602486;10602522;10606233;10606650;10698502;10747965;10753945;10890910;10969820;10980602;10990460;11007955;11032029;11072234;11127813;11158615;11169742;11175333;11259619;11313982;11375890;11375983;11382762;11382926;11423978;11429705;11481488;11557753;11591730;11675005;11714700;11781835;11791186;11798189;11807984;11852084;11871818;12024039;12080472;12164786;12170778;12217864;12372430;12374798;12402042;12431761;12433990;12444079;12692266;12748190;12750563;12824528;12918060;12925527;12942774;12944915;14520699;14610316;1465435;14710355;14712090;14722112;14743206;14985507;14990988;15019163;15024021;15044452;15077179;15153330;15242522;15289308;15489892;15496412;15509808;15540784;15548589;15574328;15734740;15798209;15860260;15908423;16107692;16158047;16230375;16244670;16301995;16343438;16462765;16479015;16492744;16557594;16636674;16642213;16738310;16828711;16849542;16855375;16929179;16990849;17072342;17186020;17245118;17264218;17317671;17344317;17377493;17442733;17513613;17533371;17555406;17569660;17634135;17685229;17762884;17805299;17845721;17878219;17909016;17942917;17942928;17993233;18022393;18053811;18303029;18336191;18374905;18377871;18419600;18505928;18555750;18556654;18632613;18698017;18922183;19015127;19037090;19075931;19086036;19107228;19124064;19135161;19147532;19204115;19229245;19244234;19357269;19465063;19558368;19580521;19602589;19638633;19718706;19776115;19776742;19837670;19882681;19930465;20093361;20124454;20139776;20167600;20185821;20190809;20197393;20198350;20225156;20331637;20428765;20505327;20569441;20576604;20588255;20607720;20647772;20659896;20689555;20797428;20805247;20886113;21042410;21042757;21071137;21285512;21348943;21552926;21556530;21617703;21655924;21862876;21887328;21914463;21924287;21941086;22032922;22074401;22075982;22178888;22203497;22266186;22266808;22266868;22391568;22427654;22445862;22498492;22532570;22576012;22611192;22777360;22787161;22796152;22805162;22862424;23035104;23100276;23148227;23165212;23178494;23291986;23967302;23982177;23995788;24040083;24134839;24183724;24231352;24330748;24333671;24696455;24737129;24788519;24799195;24802395;7478511;7494329;7556087;7623839;7651818;7684498;7700629;7824283;7969121;7995520;8051093;8090749;8117626;8242752;8247532;8247545;8299938;8382357;8388491;8405994;8514746;8521821;8570655;8630996;8645424;8647846;8695156;8756654;8892752;8892753;8932384;9105415;9191059;9242687;9268733;9315650;9343394;9449526;9649502;9677410;9707425;9724739;9774662;9839551;9841917;9844738;9858609;9890939;9926927	TRRUST_from_CollecTRI
PPARG	SERPINE1	10073956;10329404;11230363;14581151;15990085;16843437;17906687;17995524;18278065	TRRUST_from_CollecTRI
IRF1	IFNG	10075021;10334391;10404391;10454342;10714548;10926836;11564890;11777545;12052885;12429737;12479817;12493643;12517966;12781715;13678429;1374362;14735146;14993214;15860458;16135520;16824573;16931033;17018642;17036321;17293456;19929594;20400850;20861350;23419754;23811275;7509445;7823961;9164960;9193655;9491997	TRRUST_from_CollecTRI
SP1	FASLG	10075666;10671224;10754388;11053446;11254710;11745351;11970950;12655294;14563113;15004200;15173177;15659839;17192273;18293083;20617570	TRRUST_from_CollecTRI
AR	KLK3	10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026	TRRUST_from_CollecTRI
CUX1	CFTR	10075672	TRRUST_from_CollecTRI
ATF1	CFTR	10075672	TRRUST_from_CollecTRI
SP1	GAST	10075714;10448078;10580833;10679190;10751319;14670968;15613302;17889508;21083750;22593272;2566164;7721790;7890769;8920679;8943318;9144414;9852054	TRRUST_from_CollecTRI
GATA4	NPPA	10075728;10330176;11382775;11994297;14573514;15542826;16603706;17584735;19546173;20384792;20874724;20931527;9312027;9584153	TRRUST_from_CollecTRI
RARG	RARB	10075839;10929206;1310259;1650576	TRRUST_from_CollecTRI
JUN	CCL5	10075858;10760799;11413310;19828633;20862675;26096887;7513046	TRRUST_from_CollecTRI
RELA	CD40	10075983;11313274;17031478;19164127;9733827	TRRUST_from_CollecTRI
RELA	IFNG	10075983;10227974;12105194;12757742;12759422;12842891;14662860;17035338;17407192;18690006;19732956;19929594;20643337;21224476;21243522;23195252;23667107;9374532	TRRUST_from_CollecTRI
ESR1	RARA	10076999;11038749;15831516;15870697;18414489;8300756;8732679;8912864;9626663	TRRUST_from_CollecTRI
PGR	IRS2	10077005;14534541;18819936	TRRUST_from_CollecTRI
GTF2A1	TBP	12818428	TRRUST_from_CollecTRI
PAX6	KRT12	10079137;27818314;9856765	TRRUST_from_CollecTRI
SP1	NF1	10082137;10435592;11145742;11433027;12234688;12568725;14647436;18342022;18440323;2403642;8065328;8089200;9287317	TRRUST_from_CollecTRI
PITX1	LHB	10082522;11328855;11518799;12011080;12063185;12598657;12700240;15469090;16055746;16087728;17337323;19106114;21571865;22865884;9514159	TRRUST_from_CollecTRI
EGR1	LHB	10082522;10318795;10319325;10935547;11328855;11518799;11682622;11781541;11818496;12039067;14681221;14766009;15469090;16087728;16627584;17244763;17299135;17337323;17823254;19095772;19106114;19616057;20149866;22508984;22851703;22865884;24248462;8703054;9440815;9453238;9614069;9892016	TRRUST_from_CollecTRI
FOS	TP53	10348347	TRRUST_from_CollecTRI
SP1	FOS	10082538;17626239;9528985	TRRUST_from_CollecTRI
SP1	EGR1	10082539;10826704;12637574;18044710;20427719;8349585;9282327	TRRUST_from_CollecTRI
BTAF1	TBP	14988402;15509807;16858867;20627952	TRRUST_from_CollecTRI
ENO1	MYC	10082554;10403782;10528225;10681589;10802057;11134351;14506152;17595061;18070418;18490439;19846662;2005901;20412594;20886042;21559732;23421821;7880838;9074493;9119380	TRRUST_from_CollecTRI
TP53	CCND1	10082575;10669755;11798189;12808109;15205322;16061648;17942917;18769160;19086036;19800042;20554748;20731879;22270849;24189068;24460719;8702807	TRRUST_from_CollecTRI
RELA	NOS2	10085153;11036073;12057007;14978160;15170030;15350552;16169848;16283237;16318585;17035338;17041221;17068060;17081374;17720813;18057724;18596035;19766095;20600530;23085209;24014650;24360823;9685183;9712833;9754583	TRRUST_from_CollecTRI
NFKB1	NOS2	10085153;11036073;11438703;12595462;15170030;15350552;16283237;16318585;17081374;17720813;18057724;19766095;22949549;23646894;24360823;9685183;9754583	TRRUST_from_CollecTRI
CEBPB	DDIT3	10085237;16757577;8051100;8662954	TRRUST_from_CollecTRI
ATF4	DDIT3	10085237;12082616;12083523;15775988;16006626;16246168;17276738;17455323;17726049;18940792;20020050;20732869;21044953;21966512;22691366;22802018;24939851;31226023	TRRUST_from_CollecTRI
ATF4	ATF3	10085237;16246168;16989641;17042743;21801305;22819556;23269699;25681212	TRRUST_from_CollecTRI
ATF3	DDIT3	10085237;14729979;22753726;9343434	TRRUST_from_CollecTRI
HNF1A	LCT	10092306;10677375;12011060;9582375	TRRUST_from_CollecTRI
SMAD4	SERPINE1	10092624;10636910;12551947;19752858;9606191;9765209;9792626	TRRUST_from_CollecTRI
SMAD3	SERPINE1	10092624;10557285;11387330;11590145;12551947;15198928;15561701;15840021;16169848;17761371;18333754;19132220;19563779;19586629;19643931;19887897;20093492;23063463;24330518;9380693;9606191;9765209;9792626	TRRUST_from_CollecTRI
STAT1	IRF8	10092656;16918696;19074829	TRRUST_from_CollecTRI
PAX6	GCG	10094478;10319322;10506141;10862760;10938089;11457839;11707457;11773447;11845228;12783165;14765989;15590659;17263687;17901057;17962386;19217949;19223471;19338578;20592023;21824252;21824254;22426149;9224716;9933606	TRRUST_from_CollecTRI
TP53	BAX	10094833;10101800;10400708;10510469;10559267;10566557;10744634;10777477;10935506;11104574;11118038;11278953;11335718;11395510;11420692;11423991;11429705;11748232;11756653;11850816;11928223;12168779;12173040;12203124;12433990;12560513;12806965;12851404;15242522;15566940;15679092;15851483;15988033;16215989;16341121;16931621;17145718;17280505;17521288;17690113;17693666;18034190;18172861;18381427;19054058;19067706;19242108;19505426;20400479;20546728;20567883;20673369;20840522;21859835;22532570;22732402;23100276;24098340;24336083;7834749;8183578;8564971;8635454;8845569;9000137;9122197;9400998;9445173;9582019;9582400	TRRUST_from_CollecTRI
TP53	GADD45A	10094833;10321740;10327059;10435630;10566557;10749144;11221850;11420680;12007564;12806965;15031557;15186775;15721278;15735726;16581545;16714289;17063488;17084916;17344317;17440969;17700520;18225552;18350249;20797428;20840860;21245169;21394211;21836608;22262183;22801474;23114628;23576563;23948959;7624148;8892753;9154806;9191059;9233781;9405685;9519881;9566896;9931282	TRRUST_from_CollecTRI
STAT4	IFNG	10097133;11449378;11801649;12594853;12759422;12893768;12902482;14734615;15251440;15522880;16301617;16717115;17110450;19359411;19710469;20574006;20620946;23761633;24415943;25589075;26123499;9558063;9642277	TRRUST_from_CollecTRI
NR5A1	CYP17A1	10098601;10847589;11145739;11749720;11932209;12530662;12765518;12943735;15767781;16271033;16887917;17053042;17664281;17786540;17895316;19007851;20207836;20980388;21467194;22155568;23358192;23530236;9029713;9178749;9593668;9851803	TRRUST_from_CollecTRI
FOXO3	FASLG	10102273;11756562;14701673;15895074;19690465;20051626;20371612;20671123	TRRUST_from_CollecTRI
FLI1	GP9	10194443;12556498;12724402;15466856	TRRUST_from_CollecTRI
FLI1	ITGA2B	10194443;12356738;15232614;15466856	TRRUST_from_CollecTRI
PREB	PRL	10194769;16752178;18755803;19267880;19426980;20411477;20643408;20960102	TRRUST_from_CollecTRI
POU1F1	POU1F1	10194769;10390158;10652292;10980416;11518797;11722845;12673394;12792149;15266826;1600947;16043966;16189248;16216912;16322098;17445765;1972784;2049101;20807761;22199144;8297469;8625901;9247737;9639565	TRRUST_from_CollecTRI
POU1F1	PRL	10194769;10406465;10490637;10652292;10801832;10921928;11081207;11266513;11589626;11874696;12039061;12169442;12225774;12242337;12554749;12668863;12773133;1406705;15031321;15375187;1561093;15618287;15731170;15817838;16001330;1600947;16061841;16216912;16322098;16724305;16879162;16908544;17167399;17240357;1775132;1779976;17933456;18220741;18602461;18653712;1922085;19556346;19808898;19887646;2046665;2065979;2082192;21507896;2178221;2184776;22199144;22634956;2550324;2563596;2831625;7476971;7529501;7538957;7649480;7659093;7673116;7699993;7706253;7877625;8015553;8015554;8148036;8163504;8226986;8232316;8276815;8370519;8524243;8663380;8694834;8879985;8910541;9207961;9220025;9259323;9389530;9397971;9426156;9514159;9685346;9714537;9722596;9756906;9822660;9973253	TRRUST_from_CollecTRI
PAX5	RB1	10197586	TRRUST_from_CollecTRI
CEBPA	ALB	10198916;10542249;16452305;16608438;19932685;7564318;8288579;8314088;8703043	TRRUST_from_CollecTRI
STAT1	IFNG	10201928;10373559;10440232;10585866;10707961;10713330;10830295;10881178;10982806;11390994;11416037;12052885;12130529;12223098;12403783;12493643;12759422;12893768;13678429;14735146;15055356;15217838;15931263;16162660;16195385;16380218;16785492;17016440;17105733;17270146;17283162;17558024;17689680;17878383;1833631;18616672;18787082;18802113;19124156;19262492;19476491;19929594;19935876;20004484;21039465;21178011;21530491;22767256;23419754;23582260;23645984;23740952;24200694;24478085;26170288;7565811;7619083;7796811;7957928;8509377;8647290;8823363;8990168;9059994;9218597;9271410;9491997;9548487;9748323;9880553	TRRUST_from_CollecTRI
JUN	IL6	10037779;10202034;10542237;11120852;12667961;15158360;15389813;17341596;18502099;19687301;20225236;20351184;20371366;20511231;20862675;21069809;21098092;21312239;24676671;25567680;26513016;8453101;8830832	TRRUST_from_CollecTRI
HIF1A	EPO	10202154;10207038;10415537;10477681;10559391;10837481;11001829;11707426;11812905;11914036;11971899;14741200;15315937;15347669;15838297;16189267;16281953;16684536;17712557;18423195;20043814;20404921;20631191;21054399;21212189;21309574;24023421;7836384;7852211;8089148;8260699;8660378;8663540;8756616;8900415;9235919;9236155;9654078	TRRUST_from_CollecTRI
TP53	MMP1	10206959;11850838;12430174;15108353;18557930;18625714;21056989	TRRUST_from_CollecTRI
ARNT	EPO	10207038;11782478;20631191;8089148;8408001;8663540	TRRUST_from_CollecTRI
TP73	MDM2	10207051;10469568;11245471;15734740;20156675;20921405	TRRUST_from_CollecTRI
TP53	TP73	11238924;12101410;16835297;16990849;17693405;17822668;21394211;22952705	TRRUST_from_CollecTRI
TP73	CDKN1A	10207112;10435630;11172610;12639967;12676926;12841870;12934105;14614455;15790310;16193303;17611664;17700533;18418051;18421303;18644986;18951877;19067706;21245298	TRRUST_from_CollecTRI
SP1	CDKN1A	10030670;10212208;10321829;10362258;10485470;10506225;10601254;10625687;10649433;10733944;10809237;10878024;11064455;11274368;11384995;11574165;11842244;11953011;12151347;12379120;12434298;12665570;12727210;12773551;12782287;12796485;12806965;14527674;14529564;14744793;14755691;15033443;15041706;15302882;15345676;15361832;15389873;15489892;15528212;15557281;15659839;15694666;15694838;15790310;15899840;15961274;15978937;15979845;16081043;16103879;16298343;16533812;16706751;16810128;16818630;17026958;17090534;17516505;17556661;17885207;18202149;18210215;18270969;18419600;18509005;18636159;18850004;19244234;19318349;19584258;20301197;20935676;21184768;21311948;21325288;21858218;22001409;22132221;22427654;23066038;23184467;23235480;23329847;23877711;24451377;24589735;24821727;7499379;8557703;8995437;9183012;9553133;9580699;9618481;9819384	TRRUST_from_CollecTRI
ETS2	IL5	10212281;19487701	TRRUST_from_CollecTRI
GATA3	IL5	10212281;11093124;11544451;11579103;11714753;11790301;12947222;15549733;15826950;16009272;16373364;16498264;16922677;17270283;17277157;17717199;17845581;18028994;18772129;19348920;20522714;20636338;21276008;21536806;22118525;23232398;24167278;25861992;7592673;7615560;7791790;9234684;9261181;9780145	TRRUST_from_CollecTRI
ETS1	IL5	10212281;16373364;17845581;25861992	TRRUST_from_CollecTRI
SP1	TGFB1	10212284;10964912;11054406;11114293;11278686;12138160;12186868;12615726;15178441;15979845;16714330;22415074;23437118;23806282;23936544;27974707;2808430;8325508;9242631;9580699;9837963	TRRUST_from_CollecTRI
FOS	OXTR	10218980	TRRUST_from_CollecTRI
GABPA	OXTR	10218980	TRRUST_from_CollecTRI
JUN	OXTR	10218980;15494465;16569740	TRRUST_from_CollecTRI
REL	IL2RA	10221648;1508203;7636248	TRRUST_from_CollecTRI
SP1	LDLR	10224053;10841543;10894816;11250935;11792717;14568562;14998783;16303770;16449644;16647292;24358207;7597088;7627719;7836375;9271397;9610768	TRRUST_from_CollecTRI
YY1	LDLR	10224053;10318878	TRRUST_from_CollecTRI
CEBPA	PCK1	10224054;10681569;10854692;12237288;12560325;17094771;7935427;8093246;9867832	TRRUST_from_CollecTRI
WT1	CDKN1A	10224085;17160023;18202757	TRRUST_from_CollecTRI
YY1	CXCR4	10229837;11145693;12571248;14563373;15737629;15805285;20068066	TRRUST_from_CollecTRI
MYC	CXCR4	10229837;11145693	TRRUST_from_CollecTRI
USF1	CXCR4	10229837	TRRUST_from_CollecTRI
NR5A1	LHB	10318795;10319325;10478841;10935547;11328853;11328855;11518799;11682622;11781541;12456803;12700240;14681221;14766009;14988433;15469090;16055746;16087728;19095772;19106114;19106225;20797425;21571865;22865884;23536856;8631889;8636081;8703054;9453238;9514159;9570145;9607816;9614069;9892016	TRRUST_from_CollecTRI
ATF2	TNF	10318823;10688670;10748079;10913190;10954918;11490006;12509451;15356147;15546613;16888805;20018859;20068037;8552071;8816436;9826775	TRRUST_from_CollecTRI
JUN	TNF	10318823;10551799;10688670;10748079;10754326;10837498;10913190;10952728;10954918;11087751;11490006;11739517;12509451;12759366;15546613;16199883;16365438;16483936;16881863;16888805;18408586;19285436;20164416;21059644;21098092;23583459;24009130;24548427;25567680;7896795;7935377;8552071;8816436;8998076;9030359;9160673;9211933;9566900;9760243;9813054;9826775;9988757	TRRUST_from_CollecTRI
LEF1	CCND1	10318916;12748295;15798764;17360796;17666529;17885813;19620402;19653274	TRRUST_from_CollecTRI
CEBPB	STAR	10319323;10364248;10473624;11111087;15059951;18583320;19150388	TRRUST_from_CollecTRI
NR5A1	STAR	10319323;10403575;10499490;10852468;10919277;10960482;11111087;11250933;11427738;11459805;15129808;16439455;17065415;17082260;18165439;18596066;18987158;19022561;19237537;19455657;20650879;20924043;21632081;21913902;22155568;22427816;23313103;23530236;9013761;9029708;9801462;9832418	TRRUST_from_CollecTRI
