source_genesymbol	target_genesymbol	consensus_stimulation	consensus_inhibition	references	sources
TP53	CDKN1A	0	0	10029406;10037739;10072388;10094833;10101800;10321740;10327058;10348346;10435630;10498892;10499591;10522058;10559267;10566557;10597242;10625687;10660101;10749849;10753197;10777217;10792001;10799578;10910098;10935506;11021966;11032828;11152513;11162506;11162600;11175333;11278953;11313463;11313928;11375890;11384995;11395510;11429705;11444825;11514734;11557753;11668476;11739748;11748232;11890931;11892838;11895854;11922774;11973611;12007564;12045203;12080472;12168779;12173040;12203124;12226108;12239594;12379483;12384701;12392301;12420214;12433990;12560513;12573582;12609999;12640112;12665570;12681065;12716906;12717415;12748190;12782287;12806965;12851404;12869419;12889596;12902982;12925527;12934105;14517211;14522900;14580351;14612423;14614448;14614455;14635196;14722112;14743206;15007388;15009091;15024021;15051477;15067082;15082782;15136035;15184659;15208672;15248906;15259070;15302882;15339933;15371422;15489892;15492238;15496412;15509808;15539944;15566940;15586362;15660129;15710329;15728246;15738655;15741235;15790310;15851483;15856024;15860260;15872011;15882981;15897882;15985438;15988033;16061648;16103882;16107883;16131836;16204065;16230382;16261158;16288208;16317118;16341121;16343438;16410722;16434701;16458891;16488074;16537920;16540664;16557594;16574813;16581545;16601686;16733561;16778203;16778363;16894028;16931520;16970927;17101782;17108107;17121856;17145718;17146435;17158927;17167174;17224908;17280505;17307334;17317670;17339230;17344317;17404570;17509529;17569660;17592775;17610896;17646389;17678435;17685229;17721438;17762884;17786325;17878219;17903248;17916908;17938176;17942917;17977830;17996705;17997002;18059034;18094076;18172861;18193090;18208621;18225552;18269916;18272192;18419600;18446786;18451802;18483411;18505818;18521083;18573881;18593586;18615633;18628250;18644983;18645003;18645021;18656471;18690848;18719376;18755897;18757425;18769160;18840648;18951877;19067706;19118657;19243472;19244234;19383287;19394332;19435914;19472317;19501055;19608464;19630958;19713748;19723072;19738071;19749793;19789303;19843844;19846554;19882681;19954840;20036872;20124454;20153576;20187950;20190809;20331637;20448457;20473858;20511722;20531308;20673369;20696891;20797428;20814747;20817677;20843368;20885946;20962589;21084835;21093383;21242964;21245169;21295542;21317932;21325288;21524151;21528307;21541551;21546904;21552844;21557991;21606339;21642427;21715977;21733196;21791610;21858218;21900401;21903579;21957244;21969549;22001409;22086179;22172947;22190353;22244155;22253232;22266186;22266868;22270849;22279545;22290440;22427654;22480684;22503977;22514644;22532570;22611192;22713239;22732402;22894933;22948151;22989750;23017582;23066038;23100276;23146670;23149933;23159636;23187802;23208500;23329847;23349794;23474493;23650552;23665236;23759594;23874636;24074410;24096481;24134839;24189165;24205274;24289924;24356969;24379401;24384472;24559687;24584189;24599959;24821727;24821728;24835508;25024194;7478511;7566157;7624134;7624148;7696178;7753560;7774811;7777546;7970699;8242752;8547219;8557703;8603071;8616838;8632901;8641969;8647846;8691637;8749722;8752276;8799837;8816885;8878553;8910340;9108440;9154806;9183012;9191059;9207798;9216067;9223430;9224526;9233781;9268365;9268733;9288775;9349504;9360984;9405685;9440695;9472102;9519881;9525742;9535786;9582019;9588214;9614553;9652736;9707425;9714336;9816061;9816111;9895308;9916993;9920903;9926942	DoRothEA-A;ExTRI;GOA;HTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
TP53	RB1	0	0	10029406;11121443;11244564;11818069;11850820;12444079;12749855;15618023;15827088;1608930;16931621;21496227;22729911;22894933;23474762;8119988;8270002;8355507;8720930;8845569;9774636	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TFactS;TRRUST
E2F1	CDKN1A	0	0	10030670;10702805;15048076;16923815;17008321;17167174;9191053;9748148	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
E2F3	CDKN1A	0	0	10030670;15855772;17008321;17167174;22894933	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
HBP1	CDKN1A	0	0	10030670;11748232	ExTRI;TFactS;TRRUST
YY1	NR3C1	0	0	10030686;12039077	ExTRI;NTNU.Curated;Pavlidis2021;TFactS;TRRUST
ESR1	MAPK8	0	0	10037172	ExTRI
JUN	MAPK8	0	0	10037172;10092525;10764760;10954918;12162804;12183409;12441106;12637567;15122763;15225883;15483136;15582605;15950217;16397260;16452190;16611996;17932215;18374905;18457359;18535250;18607069;19010898;19016586;19289495;19324081;20353950;20813260;21216243;21710359;21719561;21739277;22344299;22353755;22802261;23608488;23939952;24123203;8610116;9295358;9427647;9691914;9743233;9746785;9867853;9878062	ExTRI;TRRUST
NR1I3	CYP2B6	0	0	10037683;11075820;11256950;11502872;12571232;14570762;14683479;16449384;16623664;18303024;18332083;18677425;19041682;19467232;19702527;19928584;21965327;22484313;22761658;9742082	ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST
CEBPG	IVL	0	0	10037704	ExTRI;NTNU.Curated
MAFK	HBB	0	0	10037736;14747657;18308612;9478996	ExTRI
NFE2L3	HBB	0	0	10037736	ExTRI;NTNU.Curated
TP53	ACTA1	0	0	10037739	ExTRI
TP53	BCL2	0	0	10037739;10329733;10744634;10953306;11193470;11313951;11713302;11782367;14684736;15326476;15767042;16294215;16738310;17592775;17693666;18397889;18487508;18682598;19137013;19411072;19521340;19555669;19714248;20428827;20501806;20530667;20840522;21656028;21666495;21859835;22266868;22869582;23638218;24098340;24155778;24814047;8174112;8183578;8205530;9000137;9649502	ExTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
PHOX2A	DBH	0	0	10037744;10644760;11034547;11948255;12609984;14512028;16280598;21241805;9341190;9763470;9798905	ExTRI;NTNU.Curated;TFactS;TRRUST
STAT4	IL12B	0	0	10037767;12893768	ExTRI
STAT4	IFNA1	0	0	10037767	ExTRI
STAT4	IRF1	0	0	10037767;10068671;10358173	ExTRI;TRRUST
IRF1	IRF1	0	0	10037767;10321737;10358173;11238639;12493643;1431317;14656743;15467738;15560761;15659847;1614874;17016442;18079498;18497060;18694960;20435892;20825659;21219575;22002246;7507207;7678055;8015552;8885869;8990383;9307237	ExTRI
ATF2	IL6	0	0	10037779;20086235	CytReg;ExTRI;SIGNOR
WT1	ODC1	0	0	10047468;8604351	ExTRI;TRRUST
NR2C2	CCND1	0	0	10048449	ExTRI;NTNU.Curated
IRF3	IFNA1	0	0	10048763;10692430;10933732;10938111;11162841;11303025;11473119;12242290;12821121;15331713;15741273;16641293;17785777;19193793;19349300;20047764;21795596;22593165;23028052;24278020;24535579;27012395;8524823;9877175;9891032	CytReg;ExTRI;TRRUST
TFAP2A	CCL13	0	0	10049733	ExTRI
FOS	FOS	0	0	10050039;10082538;10319324;10381381;10891373;11145955;11389180;11557580;11701448;11850800;11950097;12137955;12506135;12510024;12658630;1431315;15123357;16242410;1668889;16785536;17182846;1722028;1822246;18502516;18557893;18725523;18757399;1900040;1903195;1915270;19196971;1922053;1944274;19581295;20682780;2104799;2110922;2119495;21655091;21692876;21914770;21920361;23562910;24220339;2498646;2498806;2511006;2513130;2850250;3355549;7857636;7935406;7942278;8031467;8114761;8230424;8348687;8468462;8589450;8593588;8681975;8793851;8810350;8816505;8846788;8874187;8890955;8939609;8970980;9000503;9019156;9159206;9368758;9413158;9452499;9515031;9813041;9822695;9858538	ExTRI;TRRUST
HNF1A	IGF1	0	0	10050749;11544200;12031966;15933209;17210751;7836361;8584026;8943227	DoRothEA-A;ExTRI;NTNU.Curated;SIGNOR
STAT5A	IGF1	0	0	10050749;14532269;15677453;17509524;18276757;19920132;20372799;20378540;21651786;23071812	DoRothEA-A;ExTRI;HTRI;SIGNOR;TFactS
ETS1	TIMP1	0	0	10051488;8557686	ExTRI;NTNU.Curated;TFactS
ETV4	TIMP1	0	0	10051488;10692475;1420363	ExTRI;NTNU.Curated
CEBPB	ADRA1D	0	0	10051504;10796884;10871045;11058951;11481261;16431954	ExTRI
ARNT	CYP1B1	0	0	10051545;12376470;12801909;16115918;19255421;19287966;19376845;21742528;24299737	DoRothEA-A;ExTRI;GEREDB;HTRI;SIGNOR;TRRUST
AHR	CYP1B1	0	0	10051545;12213569;12376470;12801909;12859982;14728982;16115918;17012224;17511620;17709388;17785579;18059014;19126602;19287966;19376845;19789301;19805408;21703235;21742528;22138065;22187486;23275542;24299737;9478971	DoRothEA-A;ExTRI;GEREDB;HTRI;Pavlidis2021;SIGNOR;TRRUST
TP53	CCNB1	0	0	10051609;11071927;11162602;11313928;11522645;11892838;12379461;12874009;14627709;15710382;15737644;17942917;19470724;20395210	ExTRI;GEREDB;TRRUST
PAX6	L1CAM	0	0	10051657;7917011	ExTRI
CARF	CREBBP	0	0	10064599	ExTRI
STAT5A	CCND1	0	0	10064602;14645506;15885880;16155412;18024957;18927468;19426693;20372799;21719533;23223023;23504816	ExTRI;NTNU.Curated;TFactS;TRRUST
STAT5A	IL3	0	0	10064602;12574125;14627821;15358227;24367002	ExTRI
CEBPB	VLDLR	0	0	10064725	ExTRI
NFYA	VLDLR	0	0	10064725	ExTRI
CEBPG	VLDLR	0	0	10064725	ExTRI
TP53	MDM2	0	0	10065155;10072445;10208414;10321740;10348346;10469568;10562557;10566557;10688649;10718212;10777217;10788589;10856296;10871862;10891494;10914734;10949923;11046142;11085543;11127813;11179471;11245471;11313463;11328884;11591713;11593391;11714701;11748232;11756653;11840331;11956627;11964305;12080472;12138177;12173040;12208736;12235242;12374749;12606552;12750288;12755686;12851404;12887889;12902982;14514686;14532965;14570892;14602726;14610316;14704432;14743206;14990790;15007388;15024021;15090541;15192123;15361831;15550242;15580300;15592502;15684615;15734740;15735665;15831521;15843377;15851483;15856024;15908423;15917661;1614537;16202543;16337599;16479015;16492744;16501602;16510138;16571800;16585169;16624812;17043642;17139261;17237821;17310983;17318220;17329361;17390010;17690113;17848574;17907153;17936559;18025460;18333294;18336191;18359851;18397889;18566224;18583933;18585004;18632610;18781178;18783169;18814047;18852133;19085961;19428175;19505873;19541936;19590512;19638633;19648117;19649205;19663772;19671680;19837670;19941079;19955655;20036872;20080970;20124454;20156675;20331637;20547751;20588255;20659896;20663877;20703075;20837136;20858413;20948295;21097889;21211512;21217645;21295542;21422812;21451571;21478269;21637567;21750655;21957016;22081073;22085928;22180176;22197810;22223137;22245141;22290440;22301280;22383580;22532570;22787160;22948151;23149414;23150757;23150759;23365201;23483203;23581014;23612020;23874713;23982177;24339722;24389645;25016801;7587074;7624148;7651818;7888679;7936649;7958853;8187772;8247544;8313378;8319905;8413278;8440237;8910340;8957072;9070662;9071998;9135153;9194564;9207798;9267820;9270029;9271120;9294611;9371494;9400998;9405685;9430645;9472631;9486848;9525742;9535786;9645455;9649502;9681831;9707425;9815889;9858609	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
ZNF148	CDKN1A	0	0	10066455;10899165;12840224;16952553;22214764	ExTRI;NTNU.Curated
NFIC	CREBBP	0	0	10066764	ExTRI
NFIC	SRC	0	0	10066764	ExTRI
NFIC	GAL	0	0	10066764	ExTRI
NFIC	NFIC	0	0	10066764;10762365;23407945	ExTRI
RBPJ	MYOD1	0	0	10066785;10079231;12050162	ExTRI;GEREDB;TFactS
RBPJ	HES1	0	0	10066785;10205173;10520600;10933396;11120788;11866432;12814948;17611704;21311046;22718343;7566092;9819428	DoRothEA-A;ExTRI;GOA;Pavlidis2021;SIGNOR;TFactS
HES1	HES1	0	0	10066785;12682059;14722248;15110721;15536134;16916793;18852286;19109490;19124651;19321451;21205878;22167192;22172337;23267012;23990620;24185616;9570134	ExTRI;Pavlidis2021
ATF2	CCND1	0	0	10066798;10464245;10500157;10915780;11410592;11739785;11850817;15314161;15691880;16405968;9990041	ExTRI;NTNU.Curated;TRRUST
JUN	CCND1	0	0	10066798;10500157;10567390;10790372;11402335;11410592;11432833;11745411;12794082;14672732;15282324;15467760;15574422;15574764;15994313;16393119;16860316;17166846;17278098;17477349;17496887;17501623;17637753;17670745;18084253;19435822;19499154;19622016;20037604;20220142;20482821;21135252;21474819;22550166;22853846;24190040;8917510;9878062	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST
FOS	MAPK14	0	0	10067858	ExTRI
GATA4	INHA	0	0	10067876;12533404;16720723	ExTRI;NTNU.Curated
GATA4	GATA4	0	0	10067876;17098826;17207921;18387357;18591257;19276186;20384792;21059997;21084315;21376121;22174950;23239811	ExTRI
GATA4	GATA6	0	0	14988427;15659482;18816845	ExTRI;GEREDB
GATA6	GATA4	0	0	10067876;14666170;14715527;14988427;21878320	ExTRI;GEREDB
E2F3	RBL1	0	0	10068462	ExTRI;NTNU.Curated
NFATC2	IL4	0	0	10069428;10772943;10894164;11687571;11781715;11956291;12218118;12355451;12594266;15048722;15539155;15684054;17645498;18217957;18962896;19915002;21799768;22226971;23612709;25037220;7989759;8284217;8524816;8668213;9133600;9310836;9430230;9845517;9916709	CytReg;ExTRI;IntAct;NTNU.Curated;SIGNOR;TFactS
HNF4A	GUCY2C	0	0	10070050	DoRothEA-A;ExTRI
RXRG	SFTPB	0	0	10070102;9700083	ExTRI;GEREDB;NTNU.Curated
RARA	SFTPB	0	0	10070102;10617585;11274148;15044588	ExTRI;GEREDB;TRRUST
JUN	CDKN1A	0	0	10072388;10506225;10733944;11136975;12054510;12717415;18094076;18210215;19628677;21278055	ExTRI;NTNU.Curated;TRRUST
TP53	JUN	0	0	10427119;18604200;8706975	ExTRI
JUN	TP53	0	0	10072388;10348347;12963547;17321721;18604200;20697347;22353755;22859294	DoRothEA-A;ExTRI;HTRI;TRRUST
TP53	TP53	0	0	10072388;10082513;10082525;10097112;10101797;10206959;10207030;10207051;10208414;10213232;10233872;10340750;10400708;10505791;10516715;10557083;10559267;10602486;10602522;10606233;10606650;10698502;10747965;10753945;10890910;10969820;10980602;10990460;11007955;11032029;11072234;11127813;11158615;11169742;11175333;11259619;11313982;11375890;11375983;11382762;11382926;11423978;11429705;11481488;11557753;11591730;11675005;11714700;11781835;11791186;11798189;11807984;11852084;11871818;12024039;12080472;12164786;12170778;12217864;12372430;12374798;12402042;12431761;12433990;12444079;12692266;12748190;12750563;12824528;12918060;12925527;12942774;12944915;14520699;14610316;1465435;14710355;14712090;14722112;14743206;14985507;14990988;15019163;15024021;15044452;15077179;15153330;15242522;15289308;15489892;15496412;15509808;15540784;15548589;15574328;15734740;15798209;15860260;15908423;16107692;16158047;16230375;16244670;16301995;16343438;16462765;16479015;16492744;16557594;16636674;16642213;16738310;16828711;16849542;16855375;16929179;16990849;17072342;17186020;17245118;17264218;17317671;17344317;17377493;17442733;17513613;17533371;17555406;17569660;17634135;17685229;17762884;17805299;17845721;17878219;17909016;17942917;17942928;17993233;18022393;18053811;18303029;18336191;18374905;18377871;18419600;18505928;18555750;18556654;18632613;18698017;18922183;19015127;19037090;19075931;19086036;19107228;19124064;19135161;19147532;19204115;19229245;19244234;19357269;19465063;19558368;19580521;19602589;19638633;19718706;19776115;19776742;19837670;19882681;19930465;20093361;20124454;20139776;20167600;20185821;20190809;20197393;20198350;20225156;20331637;20428765;20505327;20569441;20576604;20588255;20607720;20647772;20659896;20689555;20797428;20805247;20886113;21042410;21042757;21071137;21285512;21348943;21552926;21556530;21617703;21655924;21862876;21887328;21914463;21924287;21941086;22032922;22074401;22075982;22178888;22203497;22266186;22266808;22266868;22391568;22427654;22445862;22498492;22532570;22576012;22611192;22777360;22787161;22796152;22805162;22862424;23035104;23100276;23148227;23165212;23178494;23291986;23967302;23982177;23995788;24040083;24134839;24183724;24231352;24330748;24333671;24696455;24737129;24788519;24799195;24802395;7478511;7494329;7556087;7623839;7651818;7684498;7700629;7824283;7969121;7995520;8051093;8090749;8117626;8242752;8247532;8247545;8299938;8382357;8388491;8405994;8514746;8521821;8570655;8630996;8645424;8647846;8695156;8756654;8892752;8892753;8932384;9105415;9191059;9242687;9268733;9315650;9343394;9449526;9649502;9677410;9707425;9724739;9774662;9839551;9841917;9844738;9858609;9890939;9926927	ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST
STAT3	PRF1	0	0	10072525	ExTRI;NTNU.Curated;TFactS
DBP	JTB	0	0	10073576	ExTRI
HLF	JTB	0	0	10073576	ExTRI
HLF	F8	0	0	10073576	ExTRI;NTNU.Curated
PPARG	SERPINE2	0	0	10073956	ExTRI;NTNU.Curated
PPARG	SERPINE1	0	0	10073956;10329404;11230363;14581151;15990085;16843437;17906687;17995524;18278065	ExTRI;GEREDB;NTNU.Curated;TRRUST
MAX	PDLIM7	0	0	10074148;17546492	ExTRI;NTNU.Curated
USF2	PDLIM7	0	0	10074148	ExTRI;NTNU.Curated
IRF1	SAMHD1	0	0	10075021;10570299;11703094;11781315;12232043;12429737;12474233;16413538;18546154;20510882;20631312;21345967;23659673;7814871;9164960;9548487	ExTRI;GEREDB
IRF2	SAMHD1	0	0	10075021;11058120;18281489	ExTRI
IRF1	IFNG	0	0	10075021;10334391;10404391;10454342;10714548;10926836;11564890;11777545;12052885;12429737;12479817;12493643;12517966;12781715;13678429;1374362;14735146;14993214;15860458;16135520;16824573;16931033;17018642;17036321;17293456;19929594;20400850;20861350;23419754;23811275;7509445;7823961;9164960;9193655;9491997	ExTRI;TRRUST
IRF1	NOS2	0	0	10075021;10356322;10852612;10882409;11042347;11325839;11399519;12429737;12902503;16140971;16284791;17723228;19281374;19628072;20510882;23419754;7520478;9305901;9307029	ExTRI;GEREDB;NTNU.Curated
IRF2	NOS2	0	0	10075021	ExTRI;NTNU.Curated
SP1	FASLG	0	0	10075666;10671224;10754388;11053446;11254710;11745351;11970950;12655294;14563113;15004200;15173177;15659839;17192273;18293083;20617570	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST
SP3	FASLG	0	0	10075666	ExTRI
AR	PRKACA	0	0	10075669;12933667;15691881;9886819	ExTRI
