source_genesymbol	target_genesymbol	consensus_stimulation	consensus_inhibition	references	sources
MAFB	MAFB	0	0	10642889;17548468;22753472;22820162;9477316	ExTRI
MYOD1	MAFB	0	0	10642889;10721736	ExTRI;GEREDB
MYBL2	LOX	0	0	10643973	ExTRI
SP1	CCL2	0	0	10636866;10644332;10657660;10792620;12488502;12682245;12787135;16847329;17255531;23349788;25108845;8051410;8630731	CytReg;ExTRI;TRRUST
SP1	CXCL14	0	0	10644332;22382027;7479086	CytReg;ExTRI;TRRUST
NR2F1	CD44	0	0	10644740;11682620;12943729	ExTRI
NR2F2	CD44	0	0	10644740;11682620;12943729	ExTRI
NR2F6	CD44	0	0	10644740;11682620	ExTRI
NR2C2	CD44	0	0	10644740;11682620;18174360	ExTRI
ELK3	CD44	0	0	10644740	ExTRI
AHR	RB1	0	0	10644764	ExTRI
MYB	CREBBP	0	0	10644988;9528793	ExTRI
ELF3	TGFBR2	0	0	10644990;11313868;11893733;14582709;14976186;9417054	ExTRI;GOA;NTNU.Curated
ELF3	TGFB1	0	0	10644990	ExTRI;NTNU.Curated
TFAP2A	ERBB2	0	0	10645007;10698518;11485026;12942124;15870067;16108032;18177484;18218085;19906305;22577344;7846046;9850080	ExTRI;NTNU.Curated;TFactS;TRRUST
KLF6	ADCYAP1	0	0	10646500;21329727	ExTRI
PLAG1	IGF2	0	0	10646861;11284386;11888928;14695992;14712223;16108035;16207715;23023303	ExTRI;GEREDB;GOA;SIGNOR;TRRUST
SSRP1	CTSG	0	0	10648798	ExTRI
TFAP2C	CGA	0	0	10648798	ExTRI;NTNU.Curated
CREB1	SCG2	0	0	10648883;12581877	ExTRI;GEREDB;NTNU.Curated
CEBPB	INS	0	0	10649437;19164449;21063109;9353292	ExTRI
CEBPB	PRL	0	0	10455153;10649437;15479564;16227626;24248464	ExTRI;TRRUST
RELA	FN1	0	0	10649441;10867646;12372417;18064631;22223884	ExTRI;GEREDB;TFactS;TRRUST
NFKB1	FN1	0	0	10649441;10867646;22223884	ExTRI;TFactS;TRRUST
CEBPD	PPARG	0	0	10649448;12215492;12524424;15284209;18619497;20444940;20971808;9367890	ExTRI;NTNU.Curated;SIGNOR;TRRUST
PGR	HPGD	0	0	10650939	ExTRI;NTNU.Curated
ETS2	HPGD	0	0	10650939	ExTRI;GEREDB
ETV4	HPGD	0	0	10650939	ExTRI;GEREDB;NTNU.Curated
FOS	BCL2	0	0	10651227;19079363	ExTRI;GEREDB
PGR	MYC	0	0	10651641;22396492;22892083;8701093;9305935;9408078	ExTRI;NTNU.Curated;TRRUST
CIITA	STAT1	0	0	12052885	TRRUST
STAT1	CIITA	0	0	10202014;10652022;11397960;11464288;11981818;12052885;12847226;15247301;15297606;17346795;18601229;19029990;21576360;8759739;9491997;9551976;9858567	DoRothEA-A;ExTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
MEF2A	CLCA1	0	0	10652194	ExTRI
MEF2A	MSTN	0	0	10652194;23185892	ExTRI
SP1	LBR	0	0	10652194	ExTRI
SP1	MSTN	0	0	10652194	ExTRI
ETS1	PRL	0	0	10652292;11222776;12200232;12242337;12668863;19887646;21401636;8524243;8798730	ExTRI;NTNU.Curated;TFactS;TRRUST
POU1F1	TBATA	0	0	10652292	ExTRI
POU1F1	TSHB	0	0	10652292;10931853;12385825;12655183;16396960;16901973;17244762;18594277;18653712;19103719;19556346;19887646;21533184;22634956;7529501;7876215;8036746;8226861;8276142;8407911;8550592;8879985;8910541;9167960;9207961;9305891;9973253	ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TRRUST
PDX1	FOXA2	0	0	16644672;17510498	ExTRI
FOXA2	PDX1	0	0	10652343;11278466;11875061;12052878;12970316;17510498;19141476;21385937	ExTRI;Pavlidis2021;TFactS
YY1	CFTR	0	0	10652351;16170155;20309604;23560079	ExTRI;NTNU.Curated;Pavlidis2021;TRRUST
ZEB1	COL2A1	0	0	10652357	ExTRI;GEREDB;NTNU.Curated
JUN	PRL	0	0	10652364;10770493;15231872;8114693;8663380;9278255	ExTRI;GEREDB;NTNU.Curated;TFactS
SNAI1	CDH1	0	0	10655587;11912130;12161443;12508111;12579345;12668723;14673164;15026811;15300012;15311212;15448698;15492833;16273209;16322400;16424022;16502042;16617148;16804902;17060462;17082242;17490644;17655524;17671186;17724139;18321996;18347060;18385519;18519590;18565826;18701475;18773488;18801366;19055748;19179606;19635798;19784072;19789323;19874710;19893985;20053763;20455091;20562920;20576520;20801642;21081648;21685935;21796367;21846773;22128911;22158034;22562246;22614005;22775504;22911555;23054398;23295740;23424071;23637992;23658826;23671646;23752226;24095903;24168186;24228088;24293287;24305977;24424621;24448241;24504364;25025961	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TRRUST
ID1	ID1	0	0	10656257;10728695;12296825;12718878;16123120;17490644;17565736;18211287;18842581;20081865;20388787;20674581;20970407;21156287;21955753;21996749;22234186;24177224;9779825	ExTRI
ID1	MPZ	0	0	10656257	ExTRI
MYBL2	CDK9	0	0	10656684	ExTRI
TP53	CDK9	0	0	10656684;16741955;22100912	ExTRI
SP3	ZNF143	0	0	10657238	ExTRI;GEREDB
SP1	IL10	0	0	10657644;10861063;10903771;11278848;12493739;12847250;15972681;16413748;16871431;17202341;17376198;18843277;19307576;19564345;20072143;21309719;22469463;22940633	CytReg;DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST
STAT6	ALOX15	0	0	10657944;11509556;12517954;18799463;23285160	ExTRI;GEREDB;TRRUST
FOS	CD44	0	0	10657993	ExTRI;NTNU.Curated
JUN	CD44	0	0	10657993	ExTRI;GEREDB;NTNU.Curated
STAT3	STAT3	0	0	10660304;10959419;11104795;11120780;12640143;14498832;15284113;15688401;15705894;16061651;16293640;16516862;17510282;17922140;17997399;18566225;18576943;18786563;19074878;19435463;20826784;21957129;22069317;22108192;22120521;22140473;22586032;22991431;23416296;23637829;23941877;24431073;9497331;9566874	ExTRI;NTNU.Curated;TFactS
CREM	TH	0	0	10660577;11108136;11438978;20367754;8810303	ExTRI;GEREDB;TRRUST
CREM	GAST	0	0	10660591;17185632	ExTRI
HESX1	KRAS	0	0	10664445	ExTRI
MYB	ACTG2	0	0	10666057	ExTRI;GEREDB
MYB	ACTA2	0	0	10666057	ExTRI
KLF6	PLAU	0	0	10666204	ExTRI;NTNU.Curated
KLF6	PLG	0	0	10666204	ExTRI
TBP	VCP	0	0	10666281	ExTRI
AHR	ACHE	0	0	10666294	ExTRI
APEX1	CD19	0	0	10666449	ExTRI;TRRUST
NRG1	SELE	0	0	10667576	ExTRI
JUN	PTGS2	0	0	10668496;10811116;11234900;11278336;11356200;11901151;11980644;12057991;12086396;15238218;15525691;15772294;15994313;16001969;16007171;16256955;16339564;17556653;18097055;18282182;18294142;19522015;19783677;19825968;20237399;22472290;23523690;9620167;9686761;9705326;9830045;9988750	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TFactS;TRRUST
NR2F1	GAL	0	0	10668629	ExTRI
AR	LCP1	0	0	10668786;16281503	ExTRI
EGR1	FLT1	0	0	10669633;10828020	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST
ZNF354C	FLT1	0	0	10669633	ExTRI
SP1	SOD2	0	0	10669635;11560779;11853549;11912921;12083788;12388080;15706661;15869407;16740634;18779124;21419216;22009531;23500038;23784082;23834335;7702755	ExTRI;SIGNOR;TFactS;TRRUST
SP1	CETP	0	0	10669650;12730302	ExTRI;TFactS;TRRUST
SP3	CETP	0	0	10669650;12730302	ExTRI;TRRUST
BACH2	FGF4	0	0	10669750	ExTRI;GEREDB;NTNU.Curated
PATZ1	MYC	0	0	10669750	ExTRI;NTNU.Curated
STAT1	VIM	0	0	10670648	ExTRI
PPARG	IL2	0	0	10671476;11726648;15187132;16611855;19217272;19712756	CytReg;ExTRI;GEREDB;NTNU.Curated
CEBPG	LDLR	0	0	10671569	ExTRI;NTNU.Curated
MYC	KRAS	0	0	10672043;21252116;22081066;8076602	ExTRI;TRRUST
TBP	IGFBP7	0	0	10672904;10688640;10896937;11134347;11316804;11780067;12192054;16407318;23884444;8058785;8524864;8670810;9203586	ExTRI
TBP	MMP3	0	0	10672904;8058785;9203586	ExTRI
ZHX2	AFP	0	0	10673330;18194454;19273305;23837980	ExTRI;GEREDB;TRRUST
CEBPB	RHD	0	0	10674395;15004428	ExTRI
HNF4A	GH1	0	0	10674400;10803577;16584384;17991764	DoRothEA-A;ExTRI;HTRI;TRRUST
FOXA2	FOXA2	0	0	10674400;11891324;12509444;12865419;15205324;1732730;18593902;20820189;21867676;24807696	ExTRI
HNF4A	FOXA2	0	0	10674400	ExTRI
FOXA2	HNF4A	0	0	10674400;9685261	ExTRI;GEREDB
HNF4A	HNF4A	0	0	10674400;11435618;11522818;11535594;11679424;11818510;12601360;12915406;15331348;15550563;15651981;16771709;16807375;17022998;1734282;17403778;18058600;18474611;19088433;19353766;19454287;19835622;20093419;20621834;21298017;22808265;23298640;23775631;24038081;8065354;8550563;8620471;9111350;9651383	ExTRI;TFactS
ONECUT1	FOXA2	0	0	10674400;12509444;9441664;9774514	ExTRI
FOXA2	ONECUT1	0	0	12509444	ExTRI
HNF4A	ONECUT1	0	0	10674400	ExTRI
ONECUT1	HNF4A	0	0	10674400;11585914;18058600	ExTRI
STAT5A	ONECUT1	0	0	10674400;10803577	ExTRI
STAT5A	TFAP2A	0	0	10674402	ExTRI
TBP	DR1	0	0	10675336;11283253;11744923;12237409;17407552;18048413;8670811	ExTRI
DR1	TBP	0	0	16858867;8670811	TRRUST
TBP	POLR2F	0	0	10675336;10760173;14730212;19805548;2050122;8247010;8524864;9087428;9203586	ExTRI
ETS1	NR1H2	0	0	10675617	ExTRI;NTNU.Curated
CEBPB	RBPJ	0	0	10677215	ExTRI
CDX2	LCT	0	0	10677375;12459179;16301215;16480684;17161847;9148757	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
CEBPG	CSF3	0	0	10677505	ExTRI
CEBPG	PRTN3	0	0	10677505;11290610	ExTRI
MYB	PRTN3	0	0	10677505;11290610	ExTRI
SPI1	CSF3	0	0	10677505;12130514;12958595;20864248	ExTRI;GEREDB
SPI1	PRTN3	0	0	10677505;8943304	DoRothEA-A;ExTRI;TFactS;TRRUST
GATA4	AMH	0	0	10446911;10677509;11097782;11259267;11518812;12732652;12907682;15383177;18445271;21220346	ExTRI;NTNU.Curated;TFactS;TRRUST
NR5A1	AMH	0	0	10446911;10677509;10741423;11259267;11518812;12151099;12732652;12907682;12917325;13678390;15383177;15829514;16806847;21220346;9059565;9774680	ExTRI;NTNU.Curated;TFactS;TRRUST
RXRA	BGLAP	0	0	10677586;7705332	ExTRI;NTNU.Curated
VDR	BGLAP	0	0	10677586;11278818;11891855;12697832;1353882;15225783;15299011;15456860;1664043;17218095;17786964;20227497;2175914;21964930;22405968;7705332;7981122;8014199;8076631;8119880;8382695;8920918;8990171;9257196	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
HIF1A	NOS2	0	0	10679484;11325839;12154035;16306444;16325051;18339887;20079239;25156364;9115299;9486205	ExTRI;GEREDB
ATF1	CCNA2	0	0	10683356;7843287	ExTRI;NTNU.Curated
NR1H2	CETP	0	0	10683381;20494359	ExTRI;GEREDB
NR1H3	CETP	0	0	10683381;12470296;18562803;20494359	ExTRI;GEREDB;TRRUST
TP53	CAV1	0	0	10684646;11076533;17014845;20610713	ExTRI;GEREDB;TFactS;TRRUST
SREBF1	CAV1	0	0	10684646;19808659;22474125;23592983	ExTRI;NTNU.Curated;TRRUST
KAT5	TKT	0	0	10684701	ExTRI
FOS	MMP1	0	0	10684971;10914841;11665970;15090544;15467742;16380175;19028685;20463008;9334186	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST
SP1	PLAUR	0	0	10684975;11234878;14660675;16261846;16491955;17317820;17510314;20736951;7605992;9988707	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST
GATA6	TFF1	0	0	10684977	ExTRI
GATA6	TFF2	0	0	10684977	ExTRI
GATA6	TFF3	0	0	10684977	ExTRI;NTNU.Curated
HSF1	HSD17B6	0	0	10684980;16278218;19818013;25053922	ExTRI;TRRUST
HSF1	HSPB1	0	0	10684980;18263706;20185824;20620219;21932106;23733891	ExTRI
ZNF292	GH1	0	0	10687855;8370519;8754847	ExTRI;GEREDB;SIGNOR
SPI1	PAX5	0	0	10688639;15469848	ExTRI;GEREDB
PAX5	SPI1	0	0	10688639;11179673;21549805	ExTRI;GEREDB
E2F1	SERPINE1	0	0	10688648;11402043;11559366;17230448	ExTRI;NTNU.Curated;TFactS;TRRUST
E2F1	PLAU	0	0	10688648	ExTRI;NTNU.Curated
NCOR2	RUNX1T1	0	0	10688654;24130502	ExTRI
ZBTB16	RUNX1T1	0	0	10688654;11090081	ExTRI
NCOR1	RUNX1T1	0	0	10688654	ExTRI
GBX2	IL6	0	0	10690529	CytReg;ExTRI;TRRUST
YBX3	TAF8	0	0	10692164;12644490	ExTRI
YBX3	APP	0	0	10692164;12644490	ExTRI
TP53	PCSK1	0	0	10692390;15741235;18076963	ExTRI
TP53	SERPINB5	0	0	10692390;12011991;15578720;17204482;17700520	ExTRI;NTNU.Curated;TFactS
SMAD6	SMAD1	0	0	10692396	ExTRI
SMAD1	SMAD6	0	0	10692396;17215250;22072987;22219353	ExTRI;NTNU.Curated;SIGNOR
SMAD6	SMAD6	0	0	10692396;20016939	ExTRI
CEBPG	PTGS2	0	0	10692422;11133817;11522796;11673276;15221958;16256955;16399783;17524357;18362203;21104307	ExTRI;NTNU.Curated
MAFK	CDK2	0	0	10692433	ExTRI
MYBL1	CDX1	0	0	10692454	ExTRI
CDX1	BCL2	0	0	10692454	ExTRI
MYBL1	BCL2	0	0	10692454;12970736	ExTRI
CDX2	BCL2	0	0	10692454	ExTRI;NTNU.Curated
MYB	BCL2	0	0	10692454;11675351;12384144;16088151;17823980;20237898;20659323;22101269;23675407;9096387;9823328	ExTRI;NTNU.Curated;TRRUST
NR5A1	POU5F1	0	0	10692469;15831456;17226773	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
RARA	POU5F1	0	0	10692469;20564199;7823919	ExTRI;GEREDB;NTNU.Curated;TFactS
GMEB1	TAT	0	0	10692587	ExTRI
EGR1	CHRNA7	0	0	10693923;24412748;9254668	ExTRI
FOS	CALM1	0	0	10693946	ExTRI
PAX8	TPO	0	0	10698164;11923479;1508216;15356023;16007137;17182173;21833035;24380675;27347897;7635972;8062273;8652674;9288908;9512459	DoRothEA-A;ExTRI;GEREDB;SIGNOR
TTF1	TPO	0	0	10698164;11923479;15872358;17182173;1735431;1811929;21637535;7635972;8145764	ExTRI;NTNU.Curated
SP3	GH1	0	0	10698168	ExTRI
SP1	GH1	0	0	10698168;1427648;2033067;2181288;2659342;8754847	ExTRI
EBF1	CD19	0	0	10698309;15544702	ExTRI;GEREDB
EBF1	CD79A	0	0	10698309;12446773;15361869;15544702;20385820;7542362;8491377;8497258	ExTRI;GEREDB
ESR1	ERBB2	0	0	10698518;11713584;1358436;15199112;16115928;16467117;16467118;17992604;18768663;19005469;19915977;20551150;20629094;20889718;21127199;21761336;21907803;24559156;9242384	ExTRI;GEREDB
NCOA1	ERBB2	0	0	10698518;19109434;19383905	ExTRI;GEREDB
JUN	CDKN1B	0	0	10700231;19959471;20566634	ExTRI;NTNU.Curated
ETS1	CTSB	0	0	10701774	ExTRI;NTNU.Curated;TRRUST
SP1	CTSB	0	0	10701774;14669984;15736427;17691867	ExTRI;TRRUST
SP3	CTSB	0	0	10701774;17691867	ExTRI;TRRUST
ETS2	CTSB	0	0	10701774	ExTRI
SP4	CTSB	0	0	10701774	ExTRI
IRF1	IFNB1	0	0	10702232;10848607;11303025;11846971;11888675;12077266;1371248;1431317;1472868;15494505;1630448;17073600;17785777;1793735;18575764;19628072;22358638;22547704;2911367;3409321;7630638;8021262;8035474;8106512;9315689;9422515;9446577;9649118;9707562	CytReg;ExTRI;GEREDB;TRRUST
ARNT	VEGFA	0	0	10702253;15930297;16774940;17413038;18372249;19020709;21814878;22076197;22306343;23086815;7641334;8756616	DoRothEA-A;ExTRI;NTNU.Curated;TRRUST
STAT4	MYC	0	0	10702306	ExTRI;GEREDB;TRRUST
MYC	IL2	0	0	10702306;12695333;1349016;8962093;9417120	DoRothEA-A;ExTRI;HTRI
TFDP1	CDKN1A	0	0	10029406;10702805;9191053	ExTRI;NTNU.Curated
TFAP2A	KLF12	0	0	10704285	ExTRI;TRRUST
KLF12	TFAP2A	0	0	10704285;11373277;9858544	ExTRI;TRRUST
ZNF91	TFAP2A	0	0	10704285	ExTRI
MSX1	BMP2	0	0	10704389	ExTRI;NTNU.Curated
MSX1	BMP4	0	0	10704389;11023873;12163415;12944425;17973693;19251632;21297014;21546760;23720046;8898217	ExTRI;GEREDB;NTNU.Curated
MSX1	SHH	0	0	10704389	ExTRI;GEREDB;NTNU.Curated
SP1	HSPA1B	0	0	10704399;18434628;19336471	ExTRI
KMT2A	EXOSC1	0	0	10706136	ExTRI
KLF1	HBG1	0	0	10706605;19220418;20676097;21610079;23161389;8901569	ExTRI;GEREDB
HMGA1	IL2	0	0	10706706;10848593;8896456;8934574	CytReg;ExTRI
CEBPA	DEFA3	0	0	10706719	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST
NFKBIE	SELE	0	0	10706725	ExTRI
NFKBIE	ICAM1	0	0	10706725	ExTRI
REL	ICAM1	0	0	10706725;10837365;10926553;7957928;9056676;9442377	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST
SP3	F3	0	0	10707957	ExTRI;NTNU.Curated
SMAD3	TGFB1	0	0	10708950;19214138;26553048;27974707	CytReg;ExTRI;NTNU.Curated;TRRUST
TFAP2A	SLC34A1	0	0	10710545	ExTRI
PATZ1	RNF4	0	0	10713105;11719514	ExTRI
ZNF362	HTR1A	0	0	10713139	ExTRI
GATA2	NOS3	0	0	10713142	ExTRI;NTNU.Curated;TRRUST
ZNF143	HMOX1	0	0	10713159;21840992	ExTRI;NTNU.Curated
PRDM1	MYC	0	0	10713181;11279146;12032779;12626569	DoRothEA-A;ExTRI;NTNU.Curated;SIGNOR;TRRUST
PRDM1	YY1	0	0	10713181	ExTRI
YY1	MYC	0	0	10528225;10713181;16314465;16878156;17287852;17434929;18490439;18542060;19279113;8266081;9797456	ExTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
STAT6	FCER1G	0	0	10713330;9686563	ExTRI
IRF1	CCL5	0	0	10385645;10713367;10926836;11413310;12165487;12388374;15860458;16707500;17565659;20861350;22292067	CytReg;ExTRI;TRRUST
SPI1	GHR	0	0	10715538	ExTRI
NR3C1	CYP19A1	0	0	10715546;15072557;16740737;22705581;2347895;3347052	ExTRI;GEREDB;NTNU.Curated;TRRUST
RUNX1	RUNX1	0	0	10717473;12771199;14970218;16964375;17213321;17592252;17692541;18271940;18474616;19321859;21576367;21750091;22451420;22689058;22983443;23064151;25043025;8876234	ExTRI
NR3C2	ADRA1D	0	0	10718622	ExTRI
NR3C2	RELA	0	0	10718920	ExTRI
SP1	NR3C2	0	0	8961265	ExTRI;NTNU.Curated
NR3C2	SP1	0	0	10718920	ExTRI
RELA	RELA	0	0	10718920;10935546;11964305;20137375;20547752;20617556;20813833;21537341;21734074;22627140;23166597;9129150	ExTRI
SP1	RELA	0	0	11964305;20538607;7636984;8450395;9151857	ExTRI;TRRUST
RELA	SP1	0	0	10718920	ExTRI
SP1	IGF1R	0	0	10720440;10982795;15345673;17014845;17049831;17170218;17486080;21447702;7491107;7497000	ExTRI;TFactS;TRRUST
KAT5	PRKACA	0	0	10720489	ExTRI
POU2F1	HBG1	0	0	10721715;19327156;2007132;2336386;2474800	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TRRUST
SP1	LTA	0	0	10721723;8139045	ExTRI
RARA	ABCC2	0	0	10722729;12145812	ExTRI;TFactS
RARA	SLC10A1	0	0	10722729;12105223;12547402;14701722	ExTRI;TFactS
ATF1	PRKACA	0	0	10722738	ExTRI
ATF1	ACHE	0	0	10722738	ExTRI
SP3	ITGAD	0	0	10722744;15087465	ExTRI;TFactS;TRRUST
PAX3	ITGAD	0	0	10722744	ExTRI
SP1	ITGAD	0	0	10722744;15087465	ExTRI;TFactS;TRRUST
MYB	ATP2B1	0	0	10722757;12769662	ExTRI
SSRP1	TNF	0	0	10722927;12437983;16489119;17725714;18218727;8774705	ExTRI
ATF1	RPS6KA3	0	0	10723128	ExTRI
MXD1	TERT	0	0	10723141;10786671;10986277;11287602;12821782;19787269;19912441;20723213;21411498;21855630	ExTRI;GEREDB;GOA;TRRUST
IRF1	FASLG	0	0	10725705;11801659;14563113	ExTRI;NTNU.Curated;TRRUST
IRF2	FASLG	0	0	10725705	ExTRI;NTNU.Curated
STAT1	IL4	0	0	10725793;12388243;17878383;19587017;9548487	ExTRI;GEREDB
BPTF	MAZ	0	0	10727212	ExTRI
STAT3	MAPK8	0	0	10727406	ExTRI
SP3	MAPK1	0	0	10727414	ExTRI
SP1	MAPK1	0	0	10727414;12220517;16797880;17889508;18372343;20121399;20506264;20882567;21170990	ExTRI
SPI1	MAPK1	0	0	10727414;22075620	ExTRI;TRRUST
STAT5A	CD34	0	0	10727459;18436865;23797738	ExTRI
ID1	CDKN1A	0	0	10728702;17639499;18092003;19217708;20191379;20388787;20484992;22564737;23342268;9315646	ExTRI;TFactS
ID1	CDKN2B	0	0	10728702;11427735;11507043	ExTRI
NR5A1	CYP2B6	0	0	10731122;12943735;15666827;7789992;8395654;9099900;9973254	ExTRI;NTNU.Curated;TRRUST
ATF1	REG3A	0	0	10731689	ExTRI
ATF1	LPIN1	0	0	10731689	ExTRI
SP1	ST6GALNAC3	0	0	10731711	ExTRI;NTNU.Curated
SP1	ST6GALNAC4	0	0	10731711;15528990	ExTRI
AHR	XPO1	0	0	10731723	ExTRI
CLOCK	DBP	0	0	10733528;10848603	ExTRI;NTNU.Curated
TP53	PERP	0	0	10733530;14707288;15856024;17344317;20019240;21451571	ExTRI;GEREDB;SIGNOR;TFactS;TRRUST
HNF1A	DPP4	0	0	10733933;16781669;9931303	ExTRI;NTNU.Curated
SP1	LARGE1	0	0	10734082;16002992	ExTRI
MAX	FASLG	0	0	10734130;11050389;15302589	ExTRI;TRRUST
MYC	FASLG	0	0	10734130;11050389;12655294;14519204;14563113;15302589;20101459;20155283	ExTRI;TFactS;TRRUST
SPI1	TLR4	0	0	10734131;11780066;16093364;16424218;16785240;17495427;18485892;20956019;24155397	DoRothEA-A;ExTRI;GEREDB;TFactS;TRRUST
CTCF	SIN3A	0	0	10734189;10961925	ExTRI
RARB	PRKCA	0	0	10736427	ExTRI
STAT3	GFAP	0	0	10737606;11740937;14754894;15816866;17161614;19609931;20460434;21833841	ExTRI;NTNU.Curated;TFactS;TRRUST
BHLHE40	CENPX	0	0	10737769	ExTRI
ESR1	LTF	0	0	10738912;10779508;15525592;16861234;8441416;8873065	ExTRI
IRF1	MYB	0	0	10739671	ExTRI;GEREDB;TRRUST
SRY	AMH	0	0	10741423;13678390;18445271	ExTRI
WT1	AMH	0	0	10741423;11097782;11259267;12151099;12732652;12855602;15383177;18445271	ExTRI;NTNU.Curated;TRRUST
ZNF354C	AMH	0	0	10741423	ExTRI
NR3C2	BAX	0	0	10744634	ExTRI
NR3C2	BCL2	0	0	10744634	ExTRI
TP53	FADD	0	0	10744735	ExTRI
STAT3	VEGFA	0	0	10744750;11744720;11960372;11960378;12545153;12824281;15665043;15688401;15735682;16007214;16540670;16899623;17169602;17533737;17557905;17937859;18021292;18184402;18320073;18408167;19020709;19082717;19284568;19336759;19880237;20043094;20052595;20232316;20236940;20482858;20709526;20720018;20880395;20939432;21172343;21278793;21344490;21354136;21418908;21731766;21733558;22076197;22313388;23104276;23756865;23911788;25101566	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
MYBL2	PARP1	0	0	10744766	ExTRI
PPARA	CYP7A1	0	0	10744771;10777541;11042130;14960721;17660447	ExTRI;NTNU.Curated
CEBPA	SCGB1A1	0	0	10745028;11193754;11193765;12161423	ExTRI;NTNU.Curated;TFactS
CEBPD	SCGB1A1	0	0	10745028	ExTRI;GEREDB
CEBPG	SCGB1A1	0	0	10745028	ExTRI
CEBPD	EBP	0	0	10745028;17704518	ExTRI
TP53	ABCB1	0	0	10029407;10745175;11096091;11172607;11350951;11483599;11920581;1346476;17952118;18234965;19714248;7949467;8502478;8554604;8679460;8898977;9112432;9988237	ExTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
LEF1	MITF	0	0	10747853;12048204	ExTRI;NTNU.Curated;TRRUST
MITF	MITF	0	0	10747853;10770922;10973953;11741327;12048204;12093801;12235125;16001072;17182868;18444964;19659611;21258399;21519923;22012259;23201126	ExTRI;NTNU.Curated
MAF	TP53	0	0	10747965;12149651	ExTRI;Pavlidis2021
TP53	MAF	0	0	22827438	ExTRI;NTNU.Curated
NR5A2	CYP8B1	0	0	10747975;12069850;18323469	ExTRI
SP1	PKM	0	0	10748033	ExTRI
SP3	PKM	0	0	10748033	ExTRI;TFactS
PDX1	IAPP	0	0	10748090;12426319;21251764;23796517;8573083;9115263;9230347;9637677	ExTRI;TFactS
AIRE	CREBBP	0	0	10748110	ExTRI
FOXM1	SLC2A2	0	0	10748140;11915024	ExTRI;GEREDB;NTNU.Curated
HNF1A	SLC2A2	0	0	10748140;11978637;12712243;15933209;19336222;24157454	DoRothEA-A;ExTRI;NTNU.Curated;TFactS
FOXA2	SLC2A2	0	0	10748140;11875061;12509444;16055718;19433262;24157454	ExTRI;GEREDB
HNF1B	SLC2A2	0	0	10748140	ExTRI
ATF3	ATF3	0	0	10748147;10979959;16989641;18719024;19233874;22989952	ExTRI;NTNU.Curated
TP53	BDKRB2	0	0	10748162;15632413	ExTRI;TRRUST
CEBPA	IL6	0	0	10748205;11975924;15158360	ExTRI;GEREDB;NTNU.Curated;TRRUST
CEBPD	IL6	0	0	10748205;14600152;15158360;15486993;7680115;7821611;9528783	CytReg;ExTRI;GEREDB
ZGPAT	IL6	0	0	10748205;20160059	ExTRI
CEBPB	CCL2	0	0	10748205;12145301;15710476;16784777;17180354;17390372;18649942;19026986;20019816;20730378	CytReg;ExTRI;GEREDB;NTNU.Curated
ERG	TGFBR2	0	0	10749119	ExTRI;NTNU.Curated
ETV1	TGFBR2	0	0	10749119	ExTRI;NTNU.Curated
PPARG	CYP19A1	0	0	10749129;11476957;12130549;15459115;22787115	ExTRI;NTNU.Curated
ETS2	MGAT5	0	0	10749681	ExTRI;TFactS
KLF4	CDKN1A	0	0	10749849;18483411;18645021;19737957;21132436;21224073;21652709;21763782;22750490;23861801;23884787	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST
ESR1	IGF1	0	0	10750020;11457856;11566442;17166846;19920132;20372799;22739988;24914937;8206951;9014838	ExTRI
MITF	CD40	0	0	10750559;11425859;11481336;11818452;14962802;17105730	ExTRI
SP1	EPHB2	0	0	10751319;9918860	ExTRI
PDX1	SST	0	0	10751390;10847584;14550306;22669743;25009500;7505393;7575438;7907546;8770920;9453241;9933599	ExTRI
IRF1	BIRC3	0	0	10751398;23271966	ExTRI
PEG3	PTGDR	0	0	10751419;1961711	ExTRI
RARA	NPM1	0	0	10753851	ExTRI
SOX9	ACAN	0	0	10753864;10980415;12681949;20940257;22820679	ExTRI;GEREDB;NTNU.Curated
SPI1	ACAN	0	0	10753864	ExTRI
